"link","error","(Intercept)","E1","E2","E3","error.sd","optim.iter","scale","bic","rel.bic","enhancer.formula","activity.bounds","error.bounds","scale.bounds"
"additive","gaussian",-0.00247478289662875,0.00312628343479755,0.00237814513108685,0.00529390575464036,0.00304570751970927,2000,NA,-211.213859967894,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.00143285973513857,1.74405095157037,2000,NA,-237.619637137993,-26.4057771700996,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.54595481923141,1.45878597808721,0.871405379330069,2.68676395084164,0.00219577990725958,2000,NA,-228.228061071004,-17.0142011031104,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.46665137384724,1.26700671982629,0.534467930932981,2.84794787085809,0.852864535703945,2000,NA,-274.818621903633,-63.6047619357395,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-156.109729592396,1.54633263757153,0.750676638144572,142.884070160394,0.00224588005523948,2000,611.581352938324,-224.117664166248,-12.9038041983537,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-11.8000116916035,1.26725507960123,0.534498893674971,2.84837677667507,0.852884632931993,2000,10.3110351985899,-271.559358602446,-60.3454986345524,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-0.00247478288664847,0.00312628341047685,0.00237814510008353,0.00529390573502809,0.00304570751618731,5000,NA,-211.213859967894,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.00143285980035715,1.74405092849608,5000,NA,-237.619637137993,-26.4057771700996,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.54602960884714,1.45881866986522,0.871408074505726,2.68680142283994,0.00219577938179991,5000,NA,-228.228061076732,-17.0142011088384,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.46665131599414,1.26700669618037,0.534467879181023,2.84794790276515,0.852864541269585,5000,NA,-274.818621903633,-63.6047619357395,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-16.3322887677844,1.45998420838842,0.871173997476565,2.68552917050925,0.00219577779057939,5000,885.805359704884,-224.969955353897,-13.7560953860026,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-14.4725761698619,1.26691686029147,0.534506259825829,2.84794844851716,0.852868068093445,5000,149.305366891467,-271.56044475299,-60.3465847850957,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-0.00247478288862456,0.00312628340015823,0.00237814513906324,0.00529390577399649,0.00304570753611938,10000,NA,-211.213859967894,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.00143285971174383,1.74405092726085,10000,NA,-237.619637137993,-26.4057771700996,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-9.54602957045454,1.45881869131336,0.871408057751089,2.68680138365572,0.00219577939549603,10000,NA,-228.228061076732,-17.0142011088384,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-9.46665130500489,1.26700670184871,0.534467898279457,2.84794784131865,0.852864546729573,10000,NA,-274.818621903633,-63.6047619357395,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-16.3616180991145,1.4588788181565,0.871429716911708,2.68687554883062,0.00219577944321779,10000,911.82291442569,-224.969963259514,-13.75610329162,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-15.5711398903764,1.26706373505039,0.534585231840542,2.84795696136244,0.85286645399541,10000,447.822918802865,-271.560498341768,-60.3466383738743,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
