"link","error","(Intercept)","E1","E2","E3","error.sd","optim.iter","scale","bic","rel.bic","enhancer.formula","activity.bounds","error.bounds","scale.bounds"
"additive","gaussian",-4.13958633121074e-05,0.000399731201375912,7.3412166677485e-05,0.000750899273165081,0.001,2000,NA,-290.653521557685,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.83726468378569,2000,NA,-279.759221965821,10.894299591864,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.96251129692302,0.762408484973071,0.171599703149229,1.4023902653793,0.001,2000,NA,-291.216235695791,-0.562714138105321,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.96753655175738,0.666025312726205,0.185318522427279,1.3483727878943,0.540709001985918,2000,NA,-343.363121368705,-52.7095998110195,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-15.5820908240231,0.762386531650233,0.171636659262029,1.40242754811555,0.001,2000,749.596933221535,-287.958139069337,2.69538248834874,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-9.42537801382678,0.666152078759211,0.185408848048363,1.34890748797204,0.540710847252798,2000,1.58054266642504,-340.105063800862,-49.4515422431761,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-4.13958644279847e-05,0.000399731194989171,7.34121792780925e-05,0.000750899278873141,0.001,5000,NA,-290.653521557685,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.83726467909794,5000,NA,-279.759221965821,10.894299591864,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.96251105242697,0.762408430789672,0.171599698156793,1.40239009154325,0.001,5000,NA,-291.216235695791,-0.562714138105321,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.96753657021784,0.666025318856711,0.185318529606566,1.34837280016075,0.540708998229911,5000,NA,-343.363121368705,-52.7095998110195,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-15.8132321070881,0.762411637161557,0.171602452272665,1.40237301533907,0.001,5000,944.572775043813,-287.9581390928,2.69538246488531,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-6.52630137525517,0.669346151758538,0.186820045564823,1.35569363109277,0.540702919345307,5000,0.087045113834526,-340.105623425246,-49.4521018675605,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",-4.13958654713332e-05,0.000399731200502587,7.34121723458775e-05,0.000750899277611742,0.001,10000,NA,-290.653521557685,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.83726467941095,10000,NA,-279.759221965821,10.894299591864,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.96251111046853,0.762408505618494,0.171599696603862,1.40239005967753,0.001,10000,NA,-291.216235695791,-0.562714138105321,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.96753655509682,0.666025322357486,0.185318527117353,1.34837278687183,0.540708998723141,10000,NA,-343.363121368705,-52.7095998110195,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-15.8220676726725,0.76240374358923,0.171597185871501,1.40239398910858,0.001,10000,952.948645475882,-287.958139093561,2.69538246412401,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-5.49664865105349,0.676197519340627,0.189172949154332,1.36952640065535,0.540698259057524,10000,0.0310629350208347,-340.106057781562,-49.4525362238762,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
