"link","error","(Intercept)","E1","E2","E3","error.sd","optim.iter","scale","bic","rel.bic","enhancer.formula","activity.bounds","error.bounds","scale.bounds"
"additive","gaussian",0.000289207103771423,0.00010226700900415,1.75999225071527e-05,0.000185854246275464,0.001,2000,NA,-315.872992865884,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.98669223654662,2000,NA,-305.052999265713,10.819993600171,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.20365867283314,0.284054083562394,0.115044628582659,0.441562788480968,0.001,2000,NA,-315.932387236834,-0.0593943709498603,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.16314800132749,0.261630164877945,-0.124950446693845,0.346124833315309,0.579714166941028,2000,NA,-374.02770550514,-58.1547126392565,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-14.1283867137573,0.283999198163892,0.115062997738489,0.441565459141359,0.001,2000,374.184465226036,-312.600182643768,3.27281022211605,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-0.935291967374624,0.479925085987121,-0.311508442001506,0.5964154677799,0.57842870900713,2000,0.0010000000000259,-370.819814800271,-54.9468219343869,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",0.000289207102217149,0.000102267017389766,1.75999133993577e-05,0.000185854247790883,0.001,5000,NA,-315.872992865884,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.98669222425791,5000,NA,-305.052999265713,10.819993600171,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.20364932356408,0.284036578907725,0.1150455460105,0.441553025155992,0.001,5000,NA,-315.932387238134,-0.0593943722500399,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.16314800090689,0.261630175820579,-0.124950464103278,0.346124846104937,0.57971416745156,5000,NA,-374.02770550514,-58.1547126392565,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-15.1114042946455,0.284036828833137,0.115045525987145,0.44155317094555,0.001,5000,999.999873842219,-312.600182697238,3.27281016864555,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-0.935291791604132,0.479925372453723,-0.311509142138282,0.596415834325674,0.578428685572308,5000,0.001,-370.819814800281,-54.9468219343973,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",0.000289207102242694,0.000102267015227301,1.75999233725275e-05,0.000185854245905369,0.001,10000,NA,-315.872992865884,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,1.98669223412026,10000,NA,-305.052999265713,10.819993600171,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-8.20364934375469,0.284036621829602,0.115045481728428,0.4415530274264,0.001,10000,NA,-315.932387238134,-0.0593943722500399,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.16314799668266,0.261630164806427,-0.124950441238045,0.346124835765623,0.579714163764196,10000,NA,-374.02770550514,-58.1547126392565,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-14.6339543345834,0.284029201528431,0.115045714135893,0.441558475027098,0.001,10000,620.364886545466,-312.600182678337,3.27281018754701,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-6.67193071819499,0.262345082507246,-0.125652426001696,0.34685488164763,0.579708710574038,10000,0.225373383026119,-370.695748391002,-54.8227555251182,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
