"link","error","(Intercept)","E1","E2","E3","error.sd","optim.iter","scale","bic","rel.bic","enhancer.formula","activity.bounds","error.bounds","scale.bounds"
"additive","gaussian",0.000340869137883463,5.67502248417138e-08,-5.57699201922287e-05,4.06101369051883e-05,0.001,2000,NA,-259.23590159398,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,2.16543839485988,2000,NA,-257.175273166351,2.06062842762918,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-7.98038511138092,-0.0237517057599458,-0.191522119314158,0.148371931354123,0.001,2000,NA,-259.240845867724,-0.00494427374400175,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.06203790441976,0.0513485715791651,-0.261478013009085,0.0208191610116897,0.541751002970923,2000,NA,-320.911567199747,-61.675665605767,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-14.505313227213,-0.0236743655895461,-0.191492670959935,0.148269018023359,0.001,2000,681.922829450855,-256.105351637113,3.13054995686741,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-13.5880839068188,0.0513890516923791,-0.261426315794158,0.02091020611341,0.541753921460273,2000,251.127781485574,-317.776072727507,-58.5401711335267,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",0.000340869123856083,5.67520753129687e-08,-5.57699109322951e-05,4.06101580428639e-05,0.001,5000,NA,-259.23590159398,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,2.16543840236823,5000,NA,-257.175273166351,2.06062842762918,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-7.9803850973908,-0.0237516800134571,-0.191522093654477,0.148371889113561,0.001,5000,NA,-259.240845867724,-0.00494427374400175,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.06203792035756,0.0513485727275222,-0.261478017767369,0.0208191788447749,0.541750995264591,5000,NA,-320.911567199747,-61.675665605767,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-14.6865811290212,-0.0237547635120895,-0.191524544595448,0.148369167394005,0.001,5000,817.459735767715,-256.1053516493,3.13054994468058,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-0.769312665044193,0.0876787466185292,-0.372837449649551,0.00634661830059537,0.54158854886228,5000,0.00100000000000001,-317.789869171637,-58.5539675776564,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","gaussian",0.000340869139780049,5.67625462050001e-08,-5.57699324560541e-05,4.06101371218744e-05,0.001,10000,NA,-259.23590159398,0,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"additive","lognormal",0.001,0.001,0.001,0.001,2.16543839057389,10000,NA,-257.175273166351,2.06062842762918,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","gaussian",-7.98038511172483,-0.0237517332905293,-0.191522134389618,0.148371952738754,0.001,10000,NA,-259.240845867724,-0.00494427374400175,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"exponential","lognormal",-8.06203791295654,0.0513485849496334,-0.261478015261074,0.0208191673919534,0.541751001385602,10000,NA,-320.911567199747,-61.675665605767,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","gaussian",-14.8142116508763,-0.0237504453331899,-0.191521703883117,0.148372382963818,0.001,10000,928.736825046868,-256.105351649616,3.1305499443647,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
"logistic","lognormal",-0.769312662549056,0.0876787317489621,-0.37283743078551,0.00634661577554596,0.541588546976074,10000,0.00100000000000001,-317.789869171637,-58.5539675776564,"~E1 + E2 + E3","c(-200, 200)","c(0.001, 1000)","c(0.001, 1000)"
