expression,condition,E1,E2,E3
0.002033399,wt,1,1,1
0.003078856,wt,1,1,1
0.00424856,wt,1,1,1
0.01473101,wt,1,1,1
0.01457864,wt,1,1,1
0.00524192,wt,1,1,1
0.00389747,wt,1,1,1
0.00626724,wt,1,1,1
0.002291109,enh1,0,1,1
0.00142498,enh1,0,1,1
0.003191649,enh2,1,0,1
0.004288982,enh2,1,0,1
0.002466601,enh2,1,0,1
0.000676602,enh3,1,1,0
0.00044687,enh3,1,1,0
0.000430875,enh3,1,1,0
0.000663876,enh3,1,1,0
0.002095923,enh12,0,0,1
0.001259758,enh12,0,0,1
0.000884382,enh12,0,0,1
0.000118622,enh23,1,0,0
0.000143233,enh23,1,0,0
0.000305851,enh23,1,0,0
0.000321555,enh23,1,0,0
0.00039891,enh123,0,0,0
1.26E-05,enh123,0,0,0
0.000162043,enh123,0,0,0
0.000256606,enh123,0,0,0
