TimePoint,wt1,wt2,wt3,wt4,wt5,wt6,wt7,wt8,wt.mean,wt.sd,wt.sem,promoter.deletion1,promoter.deletion2,promoter.deletion.mean,promoter.deletion.sd,enh1.deletion1,enh1.deletion2,enh1.deletion.mean,enh1.deletion.sd,enh1.deletion.sem,enh2.deletion1,enh2.deletion2,enh2.deletion3,enh2.deletion.mean,enh2.deletion.sd,enh2.deletion.sem,enh3.deletion1,enh3.deletion2,enh3.deletion3,enh3.deletion4,enh3.deletion.mean,enh3.deletion.sd,enh3.deletion.sem,enh12.deletion1,enh12.deletion2,enh12.deletion3,enh12.deletion.mean,enh12.deletion.sd,enh12.deletion.sem,enh23.deletion1,enh23.deletion2,enh23.deletion3,enh23.deletion4,enh23.deletion.mean,enh23.deletion.sd,enh23.deletion.sem,enh123.deletion1,enh123.deletion2,enh123.deletion3,enh123.deletion4,enh123.deletion.mean,enh123.deletion.sd,enh123.deletion.sem
0h,0.000913029,0.000171913,0.000265929,0.001642376,0.00127968,0.00074882,0.0003861,0.00032249,0.000716292,0.000531586,0.000187944,1.06E-06,4.37E-09,5.34E-07,0.000230629,0.000275978,0.000183026,0.000229878,4.65E-05,2.68E-05,0.000644274,0.000280882,0.000279833,0.000401663,0.000210108,0.000121306,0.000302062,0.000347574,0.000201846,0.000340222,0.000297926,6.71E-05,3.35E-05,0.000648402,0.000493077,0.000366109,0.000502529,0.000141384,8.16E-05,0.000279339,0.00042945,0.000345651,0.000512134,0.000391644,0.000101119,5.06E-05,0.000766921,0.000389412,0.00035831,0.000086083,0.000400182,0.000279896,0.000139948
4h,0.000321478,5.87E-05,0.000533444,,,,,,0.00030453,0.000237841,0.000137318,3.00E-06,2.56E-09,1.50E-06,0.000216572,0.000112388,0.000312298,0.000213753,1.00E-04,5.77E-05,0.000229154,0.000596844,0.000280669,0.000368889,0.000199088,0.000114944,0.000189046,0.000350718,0.000440723,0.000450546,0.000357758,0.000121114,6.06E-05,0.000699388,0.000371946,0.000401454,0.000490929,0.000181132,0.000104577,0.000247511,0.000287013,0.000260339,0.000380049,0.000293728,5.99E-05,2.99E-05,0.00064035,0.000197667,0.000247502,0.00017634,0.000315465,0.000218633,0.000109317
8h,0.000328914,0.000338672,0.000439552,0.001597465,,,,,0.000676151,0.000616242,0.000308121,1.54E-06,3.27E-09,7.72E-07,0.000370555,0.000397985,0.000253389,0.000340643,7.68E-05,4.43E-05,0.000733022,0.000918033,0.000932025,0.000861027,0.000111076,6.41E-05,0.00017327,0.000294908,0.000258112,0.000509146,0.000308859,0.000142909,7.15E-05,0.000766615,0.000601926,0.000383528,0.000584023,0.00019217,0.000110949,0.000182431,0.000202896,0.000262677,0.000225639,0.000218411,3.44E-05,1.72E-05,0.000486208,0.000101814,0.000163374,0.000114686,0.000216521,0.000181736,9.09E-05
12h,0.000661156,0.000443716,0.001528638,,,0.00248653,0.00157496,0.00140099,0.001349332,0.000731119,0.000298478,6.47E-06,6.58E-09,3.24E-06,0.00040354,0.000427782,0.000431847,0.000421056,1.53E-05,8.84E-06,0.000942301,0.001735535,0.000522313,0.001066716,0.000616106,0.000355709,0.000435654,0.000217762,0.000337055,0.000442612,0.000358271,0.000105348,5.27E-05,0.001041169,0.000534669,0.00038632,0.000654053,0.00034336,0.000198239,0.000208852,0.000184084,0.00023101,0.000230748,0.000213674,2.23E-05,1.11E-05,0.000326743,2.74E-05,0.000155455,0.000197373,0.000176745,0.000123396,6.17E-05
24h,0.002033399,0.003078856,0.00424856,0.01473101,0.01457864,0.00524192,0.00389747,0.00626724,0.006759637,0.005037126,0.001780893,3.54E-05,2.04E-06,1.87E-05,0.00073918,0.002291109,0.00142498,0.00148509,0.000777709,0.00044901,0.003191649,0.004288982,0.002466601,0.003315744,0.000917506,0.000529723,0.000676602,0.00044687,0.000430875,0.000663876,0.000554556,0.00013384,6.69E-05,0.002095923,0.001259758,0.000884382,0.001413354,0.000620203,0.000358074,0.000118622,0.000143233,0.000305851,0.000321555,0.000222315,0.000106196,5.31E-05,0.00039891,1.26E-05,0.000162043,0.000256606,0.000207549,0.000162364,8.12E-05
48h,0.01144687,0.00319842,0.01477245,,,0.00961327,0.00943022,0.016338,0.010799872,0.004646222,0.001896812,2.71E-05,2.51E-06,1.48E-05,0.002694289,0.002775062,0.002061059,0.002510137,0.000391004,0.000225746,0.005340729,0.001423064,0.006663756,0.00447585,0.002725294,0.001573449,0.000277172,4.59E-05,0.000655143,0.001840861,0.000704766,0.000797942,0.000398971,0.001524988,0.001025496,0.001016048,0.001188844,0.000291148,0.000168094,0.000276577,0.000299579,0.000254824,0.000625277,0.000364064,0.000175098,8.75E-05,0.000162996,8.82E-06,0.0001461,0.000232204,0.000137531,9.35E-05,4.68E-05
