"expression","condition","E1","E2","E3","P"
0.01144687,"wt",1,1,1,1
0.00319842,"wt",1,1,1,1
0.01477245,"wt",1,1,1,1
0.00961327,"wt",1,1,1,1
0.00943022,"wt",1,1,1,1
0.016338,"wt",1,1,1,1
2.71e-05,"promoter",1,1,1,0
2.51e-06,"promoter",1,1,1,0
0.002775062,"enh1",0,1,1,1
0.002061059,"enh1",0,1,1,1
0.005340729,"enh2",1,0,1,1
0.001423064,"enh2",1,0,1,1
0.006663756,"enh2",1,0,1,1
0.000277172,"enh3",1,1,0,1
4.59e-05,"enh3",1,1,0,1
0.000655143,"enh3",1,1,0,1
0.001840861,"enh3",1,1,0,1
0.001524988,"enh12",0,0,1,1
0.001025496,"enh12",0,0,1,1
0.001016048,"enh12",0,0,1,1
0.000276577,"enh23",1,0,0,1
0.000299579,"enh23",1,0,0,1
0.000254824,"enh23",1,0,0,1
0.000625277,"enh23",1,0,0,1
0.000162996,"enh123",0,0,0,1
8.82e-06,"enh123",0,0,0,1
0.0001461,"enh123",0,0,0,1
0.000232204,"enh123",0,0,0,1
