"expression","condition","E1","E2","E3","P"
0.000661156,"wt",1,1,1,1
0.000443716,"wt",1,1,1,1
0.001528638,"wt",1,1,1,1
0.00248653,"wt",1,1,1,1
0.00157496,"wt",1,1,1,1
0.00140099,"wt",1,1,1,1
6.47e-06,"promoter",1,1,1,0
6.58e-09,"promoter",1,1,1,0
0.000427782,"enh1",0,1,1,1
0.000431847,"enh1",0,1,1,1
0.000942301,"enh2",1,0,1,1
0.001735535,"enh2",1,0,1,1
0.000522313,"enh2",1,0,1,1
0.000435654,"enh3",1,1,0,1
0.000217762,"enh3",1,1,0,1
0.000337055,"enh3",1,1,0,1
0.000442612,"enh3",1,1,0,1
0.001041169,"enh12",0,0,1,1
0.000534669,"enh12",0,0,1,1
0.00038632,"enh12",0,0,1,1
0.000208852,"enh23",1,0,0,1
0.000184084,"enh23",1,0,0,1
0.00023101,"enh23",1,0,0,1
0.000230748,"enh23",1,0,0,1
0.000326743,"enh123",0,0,0,1
2.74e-05,"enh123",0,0,0,1
0.000155455,"enh123",0,0,0,1
0.000197373,"enh123",0,0,0,1
