expression,condition,E1,E2,E3
0.000328914,wt,1,1,1
0.000338672,wt,1,1,1
0.000439552,wt,1,1,1
0.001597465,wt,1,1,1
0.000397985,enh1,0,1,1
0.000253389,enh1,0,1,1
0.000733022,enh2,1,0,1
0.000918033,enh2,1,0,1
0.000932025,enh2,1,0,1
0.00017327,enh3,1,1,0
0.000294908,enh3,1,1,0
0.000258112,enh3,1,1,0
0.000509146,enh3,1,1,0
0.000766615,enh12,0,0,1
0.000601926,enh12,0,0,1
0.000383528,enh12,0,0,1
0.000182431,enh23,1,0,0
0.000202896,enh23,1,0,0
0.000262677,enh23,1,0,0
0.000225639,enh23,1,0,0
0.000486208,enh123,0,0,0
0.000101814,enh123,0,0,0
0.000163374,enh123,0,0,0
0.000114686,enh123,0,0,0
